year_month,category,island,value
2024-05,VISITOR ARRIVALS,maui,179232.62359185258
2024-05,VISITOR ARRIVALS,molokai,2498.203508947291
2024-05,VISITOR ARRIVALS,oahu,473837.14540104533
2024-06,AVERAGE DAILY CENSUS,hawaii island,40248.42526181945
2024-06,AVERAGE DAILY CENSUS,kauai,32683.459447370693
2024-06,AVERAGE DAILY CENSUS,lanai,609.793321309476
2024-06,AVERAGE DAILY CENSUS,maui,55977.962737063404
2024-06,AVERAGE DAILY CENSUS,molokai,429.6477714850119
2024-06,AVERAGE DAILY CENSUS,oahu,131015.34878186208
2024-06,AVERAGE LENGTH OF STAY,hawaii island,7.690828008859768
2024-06,AVERAGE LENGTH OF STAY,kauai,7.489180795348741
2024-06,AVERAGE LENGTH OF STAY,lanai,2.8709468388357746
2024-06,AVERAGE LENGTH OF STAY,maui,7.77238178830174
2024-06,AVERAGE LENGTH OF STAY,molokai,5.2010941123844265
2024-06,AVERAGE LENGTH OF STAY,oahu,7.375394719738187
2024-06,PER PERSON PER DAY SPENDING ($),hawaii island,234.60647538039484
2024-06,PER PERSON PER DAY SPENDING ($),kauai,271.1366939487944
2024-06,PER PERSON PER DAY SPENDING ($),lanai,621.9958678105106
2024-06,PER PERSON PER DAY SPENDING ($),maui,268.97348205275694
2024-06,PER PERSON PER DAY SPENDING ($),molokai,157.1108138495028
2024-06,PER PERSON PER DAY SPENDING ($),oahu,228.44444889334346
2024-06,PER PERSON PER TRIP SPENDING ($),hawaii island,1804.3180519154103
2024-06,PER PERSON PER TRIP SPENDING ($),kauai,2030.5917212356605
2024-06,PER PERSON PER TRIP SPENDING ($),lanai,1785.7170704594998
2024-06,PER PERSON PER TRIP SPENDING ($),maui,2090.5645934429526
2024-06,PER PERSON PER TRIP SPENDING ($),molokai,817.1481289045746
2024-06,PER PERSON PER TRIP SPENDING ($),oahu,1684.8679821214655
2024-06,TOTAL EXPENDITURES ($ MILLION),hawaii island,283.2762357086012
2024-06,TOTAL EXPENDITURES ($ MILLION),kauai,265.8505542410875
2024-06,TOTAL EXPENDITURES ($ MILLION),lanai,11.37866778218823
2024-06,TOTAL EXPENDITURES ($ MILLION),maui,451.6976266682226
2024-06,TOTAL EXPENDITURES ($ MILLION),molokai,2.0250693313990626
2024-06,TOTAL EXPENDITURES ($ MILLION),oahu,897.8918744712498
2024-06,TOTAL VISITOR DAYS,hawaii island,1207452.7578545834
2024-06,TOTAL VISITOR DAYS,kauai,980503.7834211208
2024-06,TOTAL VISITOR DAYS,lanai,18293.79963928428
2024-06,TOTAL VISITOR DAYS,maui,1679338.882111902
2024-06,TOTAL VISITOR DAYS,molokai,12889.433144550358
2024-06,TOTAL VISITOR DAYS,oahu,3930460.4634558624
2024-06,VISITOR ARRIVALS,hawaii island,156999.0586791966
